Location	Coordinates	pr_drop_LosAnge	pr_drop_Dallas	pr_drop_Chicago	pr_drop_Riversi	pr_drop_Outside	pr_drop_Phoenix	pr_drop_group	pr_drop_NewYork	pr_drop_Atlanta	pr_drop_Washing	pr_drop_Houston	pr_drop_Seattle	pr_drop_SanFran	pr_drop_pr
Albuquerque, NM Metro Area 	 35.0841034,-106.6509851	0.578	0.5569999999999999	0.446	0.728	3.059	0.8109999999999999	1.262	0.674	0.5109999999999999	1.113	0.536	0.8260000000000001	1.02	3.059
Allentown-Bethlehem-Easton, PA-NJ Metro Area 	 40.6022059,-75.4712794	0.6589999999999999	0.526	0.64	0.9510000000000001	2.502	0.597	1.262	0.731	0.525	1.078	0.486	0.925	0.957	2.502
Amarillo, TX Metro Area 	 35.2072185,-101.8338246	0.462	0.502	0.462	0.448	1.15	0.404	1.262	0.507	0.45899999999999996	0.503	0.444	0.516	0.599	1.15
Anchorage, AK Metro Area 	 61.1758781,-149.1107333	0.5339999999999999	0.47	0.456	0.585	1.915	0.531	1.262	0.46599999999999997	0.51	0.652	0.508	0.6819999999999999	0.7739999999999999	1.915
Atlanta-Sandy Springs-Roswell, GA Metro Area 	 33.7490987,-84.3901849	2.262	1.734	1.082	4.235	17.451999999999998	2.615	1.262	2.4	0.378	6.683	1.554	2.6670000000000003	3.8890000000000002	17.451999999999998
Austin-Round Rock, TX Metro Area 	 30.2711286,-97.7436995	1.189	1.5150000000000001	1.009	1.518	10.762	0.971	1.262	1.251	11.401	3.328	1.545	1.807	2.6029999999999998	10.762
Bakersfield, CA Metro Area 	 35.3738712,-119.0194639	1.019	0.483	0.46799999999999997	0.809	3.276	0.583	1.262	0.8140000000000001	3.468	1.371	0.699	0.553	1.192	3.276
Baltimore-Columbia-Towson, MD Metro Area 	 39.2908816,-76.610759	1.02	0.784	0.839	2.301	7.39	0.992	1.262	1.413	7.808	5.882	1.236	2.656	2.544	7.39
Baton Rouge, LA Metro Area 	 30.4459596,-91.18738	0.7060000000000001	0.593	0.472	0.778	3.404	0.5670000000000001	1.262	0.477	3.568	1.204	0.763	0.756	0.8220000000000001	3.404
Beaumont-Port Arthur, TX Metro Area 	 30.0860459,-94.1018461	0.47	0.635	0.48500000000000004	0.499	2.006	0.521	1.262	0.526	2.075	0.695	0.569	0.524	0.7150000000000001	2.006
Birmingham-Hoover, AL Metro Area 	 33.570499,-86.765783	0.753	0.741	0.829	1.173	4.2459999999999996	1.471	1.262	0.6980000000000001	4.314	1.64	0.708	2.848	1.1	4.2459999999999996
Boise City, ID Metro Area 	 43.60081625,-116.242110153775	0.623	0.458	0.505	0.598	2.7279999999999998	0.737	1.262	0.5339999999999999	2.843	0.9859999999999999	0.9079999999999999	0.9039999999999999	0.8220000000000001	2.7279999999999998
Boston-Cambridge-Newton, MA-NH Metro Area 	 42.3602534,-71.0582912	1.098	0.944	0.661	2.6809999999999996	10.843	1.191	1.262	1.638	11.396999999999998	9.15	1.006	1.346	1.804	10.843
Brownsville-Harlingen, TX Metro Area 	 25.9140256,-97.4890856	0.41800000000000004	0.45	0.4	0.48700000000000004	1.077	0.404	1.262	0.422	1.1280000000000001	0.49299999999999994	0.49	0.408	0.446	1.077
Buffalo-Cheektowaga-Niagara Falls, NY Metro Area 	 42.8867166,-78.8783922	0.46799999999999997	0.47100000000000003	0.46099999999999997	0.631	2.089	0.48700000000000004	1.262	0.731	2.1580000000000004	0.8630000000000001	0.472	0.588	0.5760000000000001	2.089
Charleston-North Charleston, SC Metro Area 	 32.7876012,-79.9402728	0.609	0.7789999999999999	0.482	0.9890000000000001	4.0889999999999995	0.644	1.262	0.624	4.231999999999999	2.058	0.6759999999999999	1.087	1.289	4.0889999999999995
Charlotte-Concord-Gastonia, NC-SC Metro Area 	 35.2270869,-80.8431268	0.851	0.893	0.9990000000000001	1.7630000000000001	8.857000000000001	1.1119999999999999	1.262	0.995	9.159	6.898	0.954	1.596	1.712	8.857000000000001
Cheyenne, WY Metro Area 	 41.1400,-104.8202	0.426	0.4	0.40499999999999997	0.41300000000000003	0.853	0.40900000000000003	1.2979999999999998	0.44499999999999995	0.885	0.447	0.448	0.433	0.477	0.853
Chicago-Naperville-Elgin, IL-IN-WI Metro Area 	 41.8755616,-87.6244212	1.395	1.4469999999999998	0.378	2.786	15.976	1.785	1.262	1.503	16.628	6.096	2.034	2.709	2.854	15.976
Cleveland-Elyria, OH Metro Area 	 41.5051613,-81.6934446	0.632	0.607	4.534	0.9990000000000001	4.2490000000000006	0.666	1.262	0.5910000000000001	4.022	1.348	0.766	1.108	1.218	4.2490000000000006
College Station-Bryan, TX Metro Area 	 30.6253463,-96.3271538	0.49700000000000005	0.723	3.7880000000000003	0.683	3.108	0.467	1.262	0.642	3.318	0.846	0.67	0.846	0.9940000000000001	3.108
Colorado Springs, CO Metro Area 	 38.8339578,-104.8253485	0.767	0.646	6.856	0.957	5.35	0.819	1.262	1.0	5.7010000000000005	2.283	0.7699999999999999	1.062	1.089	5.35
Columbia, SC Metro Area 	 34.0007493,-81.0343313	0.829	0.92	5.335	1.361	4.969	0.69	1.262	0.6679999999999999	5.241	1.882	0.7829999999999999	1.655	1.7910000000000001	4.969
Corpus Christi, TX Metro Area 	 27.8002542,-97.3955744	0.603	0.615	3.1679999999999997	0.719	2.634	0.512	1.262	0.637	2.806	0.844	0.6880000000000001	0.6449999999999999	0.843	2.634
Dallas-Fort Worth-Arlington, TX Metro Area 	 32.7762719,-96.7968559	2.191	0.378	23.519000000000002	2.664	19.691	1.706	1.262	2.908	20.525000000000002	7.821	2.386	4.396	6.669	19.691
Dayton, OH Metro Area 	 39.7589478,-84.1916069	0.531	3.328	4.212	1.11	3.37	0.5469999999999999	1.262	0.553	3.539	0.9940000000000001	0.644	0.782	1.296	3.37
Denver-Aurora-Lakewood, CO Metro Area 	 39.7348381,-104.9653271	1.132	13.374	13.351	1.4580000000000002	11.733	1.196	1.262	1.264	12.363000000000001	3.6180000000000003	1.1340000000000001	1.504	1.806	11.733
Detroit-Warren-Dearborn, MI Metro Area 	 42.3315509,-83.0466403	0.959	8.748000000000001	8.032	1.377	7.118	0.773	1.262	1.0510000000000002	6.834	2.771	1.461	1.142	1.141	7.118
El Paso, TX Metro Area 	 31.7600372,-106.487287	0.882	4.383	4.005	0.737	3.194	0.6579999999999999	1.262	0.75	3.401	1.521	0.5609999999999999	0.856	0.766	3.194
Fairbanks, AK Metro Area 	 64.837845,-147.716675	0.42700000000000005	1.277	1.292	0.433	1.1329999999999998	0.465	3.2560000000000002	0.41800000000000004	1.158	0.5599999999999999	0.40499999999999997	0.47800000000000004	0.474	1.1329999999999998
Fayetteville, NC Metro Area 	 35.0525759,-78.878292	0.598	3.448	3.397	0.823	2.828	0.633	1.262	0.536	3.006	1.431	0.626	0.865	0.777	2.828
Flagstaff, AZ Metro Area 	 35.199458,-111.6514259	0.526	2.184	1.975	0.48899999999999993	1.585	0.6759999999999999	5.741	0.46599999999999997	1.667	0.8099999999999999	0.437	0.5419999999999999	0.49200000000000005	1.585
Fresno, CA Metro Area 	 36.7295295,-119.708861260756	0.8130000000000001	4.054	3.636	0.7829999999999999	3.058	0.515	1.262	1.14	3.2169999999999996	1.589	1.113	0.662	1.526	3.058
Gainesville, GA Metro Area 	 34.2978794,-83.8240663	0.44	1.013	0.969	0.502	1.289	0.444	2.183	0.441	0.9219999999999999	0.5900000000000001	0.42700000000000005	0.464	0.448	1.289
Grand Rapids-Wyoming, MI Metro Area 	 42.9142413,-85.533004	0.517	4.498	4.095	0.843	3.32	0.5609999999999999	1.262	0.6449999999999999	3.5260000000000002	1.194	1.143	0.602	0.987	3.32
Gulfport-Biloxi-Pascagoula, MS Metro Area 	 30.3674198,-89.0928155	0.58	2.964	2.782	0.71	2.1940000000000004	0.5670000000000001	1.262	0.501	2.316	0.803	0.524	0.7020000000000001	0.7060000000000001	2.1940000000000004
Hilton Head Island-Bluffton-Beaufort, SC Metro Area 	 32.1618488,-80.7512616	0.48899999999999993	2.29	2.1710000000000003	0.614	1.882	0.495	8.546	0.46900000000000003	1.9449999999999998	1.1440000000000001	0.48000000000000004	0.554	0.642	1.882
