Location	Coordinates	pr_drop_Houston	pr_drop_Atlanta	pr_drop_Seattle	pr_drop_Phoenix	pr_drop_SanFran	pr_drop_NewYork	pr_drop_Outside	pr_drop_LosAnge	pr_drop_Dallas	pr_drop_Riversi	pr_drop_Chicago	pr_drop_Washing	pr_drop_group	pr_drop_pr
Cheyenne, WY Metro Area 	 41.1400,-104.8202	0.449	0.887	0.434	0.40900000000000003	0.47800000000000004	0.446	0.853	0.42700000000000005	0.40099999999999997	0.414	0.40499999999999997	0.448	2.646	0.853
Fairbanks, AK Metro Area 	 64.837845,-147.716675	0.406	1.159	0.477	0.46599999999999997	0.475	0.419	1.1329999999999998	0.428	1.278	0.433	1.2930000000000001	0.5609999999999999	3.629	1.1329999999999998
Flagstaff, AZ Metro Area 	 35.199458,-111.6514259	0.438	1.668	0.541	0.665	0.49299999999999994	0.467	1.585	0.526	2.186	0.48899999999999993	1.976	0.8109999999999999	5.074000000000001	1.585
Gainesville, GA Metro Area 	 34.2978794,-83.8240663	0.428	0.914	0.465	0.44499999999999995	0.449	0.442	1.289	0.44	1.014	0.503	0.9700000000000001	0.5910000000000001	3.211	1.289
Hilton Head Island-Bluffton-Beaufort, SC Metro Area 	 32.1618488,-80.7512616	0.481	1.944	0.555	0.496	0.643	0.47	1.882	0.49	2.2920000000000003	0.615	2.1719999999999997	1.1440000000000001	10.714	1.882
Jacksonville, NC Metro Area 	 34.7494749,-77.4208221	3.663	2.4090000000000003	0.726	0.5760000000000001	0.718	0.535	2.285	0.566	3.094	0.9940000000000001	2.859	2.247	13.873999999999999	2.285
Joplin, MO Metro Area 	 37.08418,-94.51323	1.158	0.9349999999999999	0.502	0.432	0.442	0.43	0.909	0.422	1.1689999999999998	0.447	1.059	0.488	2.646	0.909
Lawrence, KS Metro Area 	 38.9719384,-95.2359496	2.214	1.421	0.559	0.428	0.477	0.417	1.351	0.414	1.805	0.477	1.648	1.363	5.265	1.351
Lawton, OK Metro Area 	 34.6086854,-98.3903305	2.46	1.786	0.5760000000000001	0.441	0.763	0.462	1.689	0.494	2.076	0.61	2.063	0.9740000000000001	3.873	1.689
Midland, TX Metro Area 	 31.9973662,-102.0779482	2.46	1.6280000000000001	0.574	0.43600000000000005	0.7290000000000001	0.7290000000000001	1.532	2.313	2.0349999999999997	0.606	1.8860000000000001	0.622	6.645	1.532
Monroe, LA Metro Area 	 38.2722313,-90.1792484	1.236	0.954	0.43	0.41800000000000004	0.417	0.41300000000000003	0.9269999999999999	1.564	1.092	0.419	1.062	0.515	2.892	0.9269999999999999
Odessa, TX Metro Area 	 31.8457149,-102.367687	2.134	1.414	0.593	0.45199999999999996	0.74	1.789	1.345	1.893	1.7979999999999998	0.661	1.581	0.622	5.7330000000000005	1.345
Panama City, FL Metro Area 	 30.165156,-85.6605595	2.2520000000000002	1.702	0.5199999999999999	0.453	0.6	3.3040000000000003	1.64	2.6879999999999997	2.07	0.583	1.954	0.68	4.694	1.64
Redding, CA Metro Area 	 40.5863563,-122.3916754	1.479	1.105	0.45	3.0109999999999997	0.684	2.399	1.0690000000000002	1.818	1.268	0.479	1.211	0.65	19.559	1.0690000000000002
San Angelo, TX Metro Area 	 31.4648357,-100.4398442	1.691	1.35	0.503	2.83	0.5429999999999999	2.163	1.325	1.8539999999999999	1.4760000000000002	3.339	1.495	0.58	4.058	1.325
Sherman-Denison, TX Metro Area 	 33.6360125,-96.6097889	0.7789999999999999	0.933	2.363	1.1340000000000001	1.7489999999999999	1.0579999999999998	0.9	0.9	0.7380000000000001	1.297	1.093	0.462	2.7079999999999997	0.9
State College, PA Metro Area 	 40.7944504,-77.8616386	2.778	1.89	7.5329999999999995	4.403	6.071	4.1770000000000005	1.8719999999999999	3.356	2.368	3.682	2.133	1.58	24.442999999999998	1.8719999999999999
Victoria, TX Metro Area 	 28.8052674,-97.0035982	0.879	0.8130000000000001	2.386	1.485	1.6869999999999998	1.199	0.781	0.969	0.8540000000000001	1.6	0.8270000000000001	0.435	3.028	0.781
Walla Walla, WA Metro Area 	 46.0650381,-118.3302476	1.071	0.7969999999999999	2.2039999999999997	2.006	4.373	1.4829999999999999	0.777	1.201	0.911	2.569	0.882	0.486	3.109	0.777
Wichita Falls, TX Metro Area 	 33.9137085,-98.4933873	1.598	1.333	7.029	2.778	4.593	2.144	1.3110000000000002	1.821	1.403	3.142	1.531	25.905	20.994	1.3110000000000002
Arecibo, PR Metro Area 	 18.3442249,-66.7526951911433	0.414	0.40900000000000003	0.42000000000000004	0.41300000000000003	0.439	0.40299999999999997	0.536	0.414	0.40900000000000003	0.45399999999999996	0.384	0.415	4.592	0.536
Guayama, PR Metro Area 	 18.0724557,-66.1046633	0.389	0.475	0.386	0.389	0.40099999999999997	0.39599999999999996	0.47100000000000003	0.382	0.502	0.40900000000000003	0.49	0.4	2.646	0.47100000000000003
Lebanon, PA Metro Area 	 40.3429683,-76.4233816	1.227	1.018	0.553	0.48899999999999993	0.479	0.42000000000000004	0.9700000000000001	0.46599999999999997	1.244	0.53	1.147	1.016	6.704	0.9700000000000001
Mayagüez, PR Metro Area 	 17.9390029,-66.9539751	0.878	0.707	0.531	0.5950000000000001	0.741	0.42000000000000004	0.712	0.9	0.7969999999999999	0.657	0.755	0.518	5.7219999999999995	0.712
San Germán, PR Metro Area 	 18.0887911,-67.007989	0.55	0.483	0.402	0.767	1.073	0.6539999999999999	0.47800000000000004	0.61	0.515	0.712	0.505	0.398	3.6189999999999998	0.47800000000000004
Sheboygan, WI Metro Area 	 43.7508284,-87.71453	0.909	0.752	2.0730000000000004	1.236	1.571	0.972	0.731	1.0230000000000001	0.8360000000000001	1.1789999999999998	0.7919999999999999	0.47800000000000004	2.663	0.731
