msa,pcpi
"Abilene, TX","40,886"
"Akron, OH","45,108"
"Albany, GA","34,770"
"Albany, OR","37,955"
"Albany-Schenectady-Troy, NY","52,649"
"Albuquerque, NM","38,988"
"Alexandria, LA","40,463"
"Allentown-Bethlehem-Easton, PA-NJ","48,419"
"Altoona, PA","41,806"
"Amarillo, TX","43,411"
"Ames, IA","38,799"
"Anchorage, AK","59,252"
"Ann Arbor, MI","52,303"
"Anniston-Oxford-Jacksonville, AL","34,188"
"Appleton, WI","46,175"
"Asheville, NC","40,591"
"Athens-Clarke County, GA","36,537"
"Atlanta-Sandy Springs-Roswell, GA","46,444"
"Atlantic City-Hammonton, NJ","44,053"
"Auburn-Opelika, AL","34,198"
"Augusta-Richmond County, GA-SC","38,263"
"Austin-Round Rock, TX","51,717"
"Bakersfield, CA","37,968"
"Baltimore-Columbia-Towson, MD","56,141"
"Bangor, ME","37,907"
"Barnstable Town, MA","65,272"
"Baton Rouge, LA","43,693"
"Battle Creek, MI","37,145"
"Bay City, MI","38,382"
"Beaumont-Port Arthur, TX","41,676"
"Beckley, WV","34,789"
"Bellingham, WA","43,826"
"Bend-Redmond, OR","47,284"
"Billings, MT","48,043"
"Binghamton, NY","40,199"
"Birmingham-Hoover, AL","45,508"
"Bismarck, ND","54,732"
"Blacksburg-Christiansburg-Radford, VA","35,006"
"Bloomington, IL","45,869"
"Bloomington, IN","36,341"
"Bloomsburg-Berwick, PA","40,675"
"Boise City, ID","41,366"
"Boston-Cambridge-Newton, MA-NH","69,391"
"Boulder, CO","64,197"
"Bowling Green, KY","34,505"
"Bremerton-Silverdale, WA","48,711"
"Bridgeport-Stamford-Norwalk, CT","104,893"
"Brownsville-Harlingen, TX","26,807"
"Brunswick, GA","36,741"
"Buffalo-Cheektowaga-Niagara Falls, NY","45,362"
"Burlington, NC","36,755"
"Burlington-South Burlington, VT","52,804"
"California-Lexington Park, MD","52,193"
"Canton-Massillon, OH","41,328"
"Cape Coral-Fort Myers, FL","46,585"
"Cape Girardeau, MO-IL","39,297"
"Carbondale-Marion, IL","37,942"
"Carson City, NV","45,488"
"Casper, WY","73,314"
"Cedar Rapids, IA","48,151"
"Chambersburg-Waynesboro, PA","41,993"
"Champaign-Urbana, IL","44,544"
"Charleston, WV","42,032"
"Charleston-North Charleston, SC","45,116"
"Charlotte-Concord-Gastonia, NC-SC","46,713"
"Charlottesville, VA","54,537"
"Chattanooga, TN-GA","42,158"
"Cheyenne, WY","49,764"
"Chicago-Naperville-Elgin, IL-IN-WI","55,384"
"Chico, CA","40,709"
"Cincinnati, OH-KY-IN","48,622"
"Clarksville, TN-KY","38,814"
"Cleveland, TN","36,610"
"Cleveland-Elyria, OH","48,682"
"Coeur d'Alene, ID","40,312"
"College Station-Bryan, TX","36,447"
"Colorado Springs, CO","44,802"
"Columbia, MO","43,580"
"Columbia, SC","41,315"
"Columbus, GA-AL","37,629"
"Columbus, IN","45,606"
"Columbus, OH","47,413"
"Corpus Christi, TX","42,756"
"Corvallis, OR","42,083"
"Crestview-Fort Walton Beach-Destin, FL","46,956"
"Cumberland, MD-WV","36,631"
"Dallas-Fort Worth-Arlington, TX","50,849"
"Dalton, GA","33,046"
"Danville, IL","36,227"
"Daphne-Fairhope-Foley, AL","41,412"
"Davenport-Moline-Rock Island, IA-IL","45,054"
"Dayton, OH","43,195"
"Decatur, AL","35,444"
"Decatur, IL","44,645"
"Deltona-Daytona Beach-Ormond Beach, FL","38,515"
"Denver-Aurora-Lakewood, CO","56,708"
"Des Moines-West Des Moines, IA","50,303"
"Detroit-Warren-Dearborn, MI","47,799"
"Dothan, AL","37,177"
"Dover, DE","37,767"
"Dubuque, IA","44,578"
"Duluth, MN-WI","41,821"
"Durham-Chapel Hill, NC","49,142"
"East Stroudsburg, PA","38,178"
"Eau Claire, WI","42,932"
"El Centro, CA","35,290"
"Elizabethtown-Fort Knox, KY","38,696"
"Elkhart-Goshen, IN","39,865"
"Elmira, NY","40,156"
"El Paso, TX","32,973"
"Enid, OK","44,074"
"Erie, PA","40,630"
"Eugene, OR","41,136"
"Evansville, IN-KY","42,999"
"Fairbanks, AK","53,582"
"Fargo, ND-MN","50,160"
"Farmington, NM","34,103"
"Fayetteville, NC","35,142"
"Fayetteville-Springdale-Rogers, AR-MO","56,215"
"Flagstaff, AZ","42,800"
"Flint, MI","37,178"
"Florence, SC","36,473"
"Florence-Muscle Shoals, AL","35,215"
"Fond du Lac, WI","43,712"
"Fort Collins, CO","47,005"
"Fort Smith, AR-OK","34,778"
"Fort Wayne, IN","41,542"
"Fresno, CA","39,561"
"Gadsden, AL","34,129"
"Gainesville, FL","39,427"
"Gainesville, GA","38,712"
"Gettysburg, PA","44,831"
"Glens Falls, NY","41,593"
"Goldsboro, NC","35,674"
