Source	Dests
Abilene, TX Metro Area	
Aguadilla-Isabela, PR Metro Area	
Akron, OH Metro Area	Cleveland-Elyria, OH Metro Area
Albany, GA Metro Area	
Albany, OR Metro Area	
Albany-Schenectady-Troy, NY Metro Area	New York-Newark-Jersey City, NY-NJ-PA Metro Area
Albuquerque, NM Metro Area	
Alexandria, LA Metro Area	
Allentown-Bethlehem-Easton, PA-NJ Metro Area	New York-Newark-Jersey City, NY-NJ-PA Metro Area+Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area
Altoona, PA Metro Area	
Amarillo, TX Metro Area	
Ames, IA Metro Area	
Anchorage, AK Metro Area	
Ann Arbor, MI Metro Area	Detroit-Warren-Dearborn, MI Metro Area
Anniston-Oxford-Jacksonville, AL Metro Area	
Appleton, WI Metro Area	
Arecibo, PR Metro Area	
Asheville, NC Metro Area	
Athens-Clarke County, GA Metro Area	
Atlanta-Sandy Springs-Roswell, GA Metro Area	Athens-Clarke County, GA Metro Area+Chicago-Naperville-Elgin, IL-IN-WI Metro Area+Gainesville, GA Metro Area+Miami-Fort Lauderdale-West Palm Beach, FL Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Atlantic City-Hammonton, NJ Metro Area	
Auburn-Opelika, AL Metro Area	
Augusta-Richmond County, GA-SC Metro Area	
Austin-Round Rock, TX Metro Area	Dallas-Fort Worth-Arlington, TX Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area+San Antonio-New Braunfels, TX Metro Area
Bakersfield, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area
Baltimore-Columbia-Towson, MD Metro Area	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area+Salisbury, MD-DE Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Bangor, ME Metro Area	
Barnstable Town, MA Metro Area	Boston-Cambridge-Newton, MA-NH Metro Area
Baton Rouge, LA Metro Area	
Battle Creek, MI Metro Area	
Bay City, MI Metro Area	
Beaumont-Port Arthur, TX Metro Area	Houston-The Woodlands-Sugar Land, TX Metro Area
Beckley, WV Metro Area	
Bellingham, WA Metro Area	
Bend-Redmond, OR Metro Area	
Billings, MT Metro Area	
Binghamton, NY Metro Area	
Birmingham-Hoover, AL Metro Area	
Bismarck, ND Metro Area	
Blacksburg-Christiansburg-Radford, VA Metro Area	
Bloomington, IL Metro Area	
Bloomington, IN Metro Area	
Bloomsburg-Berwick, PA Metro Area	
Boise City, ID Metro Area	
Boston-Cambridge-Newton, MA-NH Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area+Manchester-Nashua, NH Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Providence-Warwick, RI-MA Metro Area+Springfield, MA Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area+Worcester, MA-CT Metro Area
Boulder, CO Metro Area	Denver-Aurora-Lakewood, CO Metro Area
Bowling Green, KY Metro Area	
Bremerton-Silverdale, WA Metro Area	Seattle-Tacoma-Bellevue, WA Metro Area
Bridgeport-Stamford-Norwalk, CT Metro Area	Hartford-West Hartford-East Hartford, CT Metro Area+New Haven-Milford, CT Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area
Brownsville-Harlingen, TX Metro Area	
Brunswick, GA Metro Area	
Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	
Burlington, NC Metro Area	
Burlington-South Burlington, VT Metro Area	
California-Lexington Park, MD Metro Area	
Canton-Massillon, OH Metro Area	
Cape Coral-Fort Myers, FL Metro Area	
Cape Girardeau, MO-IL Metro Area	
Carbondale-Marion, IL Metro Area	
Carson City, NV Metro Area	
Casper, WY Metro Area	
Cedar Rapids, IA Metro Area	
Chambersburg-Waynesboro, PA Metro Area	
Champaign-Urbana, IL Metro Area	Chicago-Naperville-Elgin, IL-IN-WI Metro Area
Charleston, WV Metro Area	
Charleston-North Charleston, SC Metro Area	
Charlotte-Concord-Gastonia, NC-SC Metro Area	
Charlottesville, VA Metro Area	
Chattanooga, TN-GA Metro Area	
Cheyenne, WY Metro Area	
Chicago-Naperville-Elgin, IL-IN-WI Metro Area	Atlanta-Sandy Springs-Roswell, GA Metro Area+Bloomington, IL Metro Area+Champaign-Urbana, IL Metro Area+Dallas-Fort Worth-Arlington, TX Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area+Indianapolis-Carmel-Anderson, IN Metro Area+Los Angeles-Long Beach-Anaheim, CA Metro Area+Milwaukee-Waukesha-West Allis, WI Metro Area+Minneapolis-St. Paul-Bloomington, MN-WI Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Phoenix-Mesa-Scottsdale, AZ Metro Area+St. Louis, MO-IL Metro Area
Chico, CA Metro Area	
Cincinnati, OH-KY-IN Metro Area	Columbus, OH Metro Area+Dayton, OH Metro Area
Clarksville, TN-KY Metro Area	
Cleveland, TN Metro Area	
Cleveland-Elyria, OH Metro Area	Akron, OH Metro Area+Columbus, OH Metro Area
Coeur d'Alene, ID Metro Area	
College Station-Bryan, TX Metro Area	Houston-The Woodlands-Sugar Land, TX Metro Area
Colorado Springs, CO Metro Area	Denver-Aurora-Lakewood, CO Metro Area
Columbia, MO Metro Area	
Columbia, SC Metro Area	
Columbus, GA-AL Metro Area	
Columbus, IN Metro Area	
Columbus, OH Metro Area	Cincinnati, OH-KY-IN Metro Area
Corpus Christi, TX Metro Area	
Corvallis, OR Metro Area	
Crestview-Fort Walton Beach-Destin, FL Metro Area	
Cumberland, MD-WV Metro Area	
Dallas-Fort Worth-Arlington, TX Metro Area	Austin-Round Rock, TX Metro Area+College Station-Bryan, TX Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area+Lubbock, TX Metro Area+Oklahoma City, OK Metro Area+San Antonio-New Braunfels, TX Metro Area
Dalton, GA Metro Area	
Danville, IL Metro Area	
Daphne-Fairhope-Foley, AL Metro Area	
Davenport-Moline-Rock Island, IA-IL Metro Area	
Dayton, OH Metro Area	Cincinnati, OH-KY-IN Metro Area
Decatur, AL Metro Area	
Decatur, IL Metro Area	
Deltona-Daytona Beach-Ormond Beach, FL Metro Area	Orlando-Kissimmee-Sanford, FL Metro Area
Denver-Aurora-Lakewood, CO Metro Area	Boulder, CO Metro Area+Colorado Springs, CO Metro Area+Fort Collins, CO Metro Area+Greeley, CO Metro Area
Des Moines-West Des Moines, IA Metro Area	
Detroit-Warren-Dearborn, MI Metro Area	Ann Arbor, MI Metro Area+Flint, MI Metro Area+Grand Rapids-Wyoming, MI Metro Area+Lansing-East Lansing, MI Metro Area
Dothan, AL Metro Area	
Dover, DE Metro Area	
Dubuque, IA Metro Area	
Duluth, MN-WI Metro Area	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area
Durham-Chapel Hill, NC Metro Area	Raleigh, NC Metro Area
East Stroudsburg, PA Metro Area	
