Location	Coordinates	pr	pr_drop_sf	pr_drop_nyc	pr_drop_la	pr_drop_houston	pr_drop_seattle	pr_drop_dc	pr_drop_atl	pr_drop_chicago	pr_drop_riverside	pr_drop_dallas	pr_drop_phoenix
Albuquerque, NM Metro Area 	 35.0841034,-106.6509851	3.059	1.019	0.674	0.584	0.5379999999999999	0.833	1.1340000000000001	0.5109999999999999	0.447	0.727	0.5609999999999999	0.819
Allentown-Bethlehem-Easton, PA-NJ Metro Area 	 40.6022059,-75.4712794	2.502	0.9560000000000001	0.7789999999999999	0.6589999999999999	0.48700000000000004	0.925	1.07	0.526	0.641	0.949	0.525	0.598
Amarillo, TX Metro Area 	 35.2072185,-101.8338246	1.15	0.5950000000000001	0.507	0.46099999999999997	0.447	0.517	0.502	0.45899999999999996	0.46099999999999997	0.449	0.496	0.40499999999999997
Anchorage, AK Metro Area 	 61.1758781,-149.1107333	1.915	0.768	0.46599999999999997	0.533	0.51	0.694	0.6589999999999999	0.509	0.458	0.585	0.47	0.53
Atlanta-Sandy Springs-Roswell, GA Metro Area 	 33.7490987,-84.3901849	17.451999999999998	3.934	2.453	2.274	1.567	2.6870000000000003	6.687	1.896	1.0959999999999999	4.2509999999999994	1.76	2.644
Austin-Round Rock, TX Metro Area 	 30.2711286,-97.7436995	10.762	2.6029999999999998	1.266	1.209	1.6360000000000001	1.807	3.355	11.384	1.016	1.524	1.592	0.993
Bakersfield, CA Metro Area 	 35.3738712,-119.0194639	3.276	1.137	0.8130000000000001	1.109	0.7010000000000001	0.5509999999999999	1.3519999999999999	3.4650000000000003	0.46799999999999997	0.879	0.484	0.592
Baltimore-Columbia-Towson, MD Metro Area 	 39.2908816,-76.610759	7.39	2.553	1.4369999999999998	1.026	1.239	2.653	6.498	7.798	0.842	2.2920000000000003	0.785	0.9959999999999999
Baton Rouge, LA Metro Area 	 30.4459596,-91.18738	3.404	0.8220000000000001	0.48000000000000004	0.7060000000000001	0.767	0.755	1.211	3.558	0.47300000000000003	0.78	0.5950000000000001	0.5680000000000001
Beaumont-Port Arthur, TX Metro Area 	 30.0860459,-94.1018461	2.006	0.713	0.526	0.47	0.605	0.528	0.6980000000000001	2.068	0.48500000000000004	0.5	0.627	0.522
Birmingham-Hoover, AL Metro Area 	 33.570499,-86.765783	4.2459999999999996	1.099	0.7010000000000001	0.755	0.71	2.8449999999999998	1.616	4.301	0.83	1.173	0.743	1.469
Boise City, ID Metro Area 	 43.60081625,-116.242110153775	2.7279999999999998	0.8170000000000001	0.535	0.629	0.909	0.874	0.982	2.837	0.506	0.607	0.46099999999999997	0.737
Boston-Cambridge-Newton, MA-NH Metro Area 	 42.3602534,-71.0582912	10.843	1.88	1.706	1.1280000000000001	1.014	1.3699999999999999	9.131	11.392	0.669	2.675	0.9510000000000001	1.2
Brownsville-Harlingen, TX Metro Area 	 25.9140256,-97.4890856	1.077	0.446	0.422	0.41800000000000004	0.49700000000000005	0.41100000000000003	0.49200000000000005	1.1260000000000001	0.4	0.486	0.45199999999999996	0.404
Buffalo-Cheektowaga-Niagara Falls, NY Metro Area 	 42.8867166,-78.8783922	2.089	0.58	0.745	0.46900000000000003	0.474	0.587	0.869	2.15	0.46099999999999997	0.63	0.472	0.488
Charleston-North Charleston, SC Metro Area 	 32.7876012,-79.9402728	4.0889999999999995	1.276	0.633	0.612	0.68	1.078	2.056	4.2170000000000005	0.483	0.987	0.781	0.65
Charlotte-Concord-Gastonia, NC-SC Metro Area 	 35.2270869,-80.8431268	8.857000000000001	1.711	1.027	0.859	0.962	1.609	6.819000000000001	9.139	1.003	1.766	0.9	1.129
