ID	Source	SOURCE_coord	Dest	DEST_coord  count
0	Abilene, TX Metro Area	 32.4466741,-99.7333011	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1772
1	Aguadilla-Isabela, PR Metro Area	 18.44215415,-67.1473105463995	San Juan-Carolina-Caguas, PR Metro Area	 18.4655,-66.1057	1242
2	Akron, OH Metro Area	 41.083064,-81.518485	Canton-Massillon, OH Metro Area	 40.7989522,-81.3784445	3021
3	Akron, OH Metro Area	 41.083064,-81.518485	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	6522
4	Akron, OH Metro Area	 41.083064,-81.518485	Columbus, OH Metro Area	 39.9622601,-83.0007065	1712
5	Akron, OH Metro Area	 41.083064,-81.518485	Youngstown-Warren-Boardman, OH-PA Metro Area	 41.1035786,-80.6520161	1914
6	Albany, OR Metro Area	 44.6365071,-123.1059324	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	1086
7	Albany, OR Metro Area	 44.6365071,-123.1059324	Salem, OR Metro Area	 44.9391565,-123.033121	1830
8	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	1017
9	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	Glens Falls, NY Metro Area	 43.309941,-73.644447	1724
10	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4941
11	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	1003
12	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	Syracuse, NY Metro Area	 43.0481221,-76.1474244	1282
13	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	1278
14	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	Las Cruces, NM Metro Area	 32.3140354,-106.7798078	1269
15	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	1880
16	Albuquerque, NM Metro Area	 35.0841034,-106.6509851	Santa Fe, NM Metro Area	 35.6869996,-105.9377997	1937
17	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	East Stroudsburg, PA Metro Area	 40.9995386,-75.1812913	1674
18	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4820
19	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5453
20	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	Reading, PA Metro Area	 40.335345,-75.9279495	1290
21	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	Scranton--Wilkes-Barre--Hazleton, PA Metro Area	 41.4086874,-75.6621294	1408
22	Amarillo, TX Metro Area	 35.2072185,-101.8338246	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2055
23	Ames, IA Metro Area	 42.0267703,-93.6170554	Des Moines-West Des Moines, IA Metro Area	 41.5910641,-93.6037149	1671
24	Anchorage, AK Metro Area	 61.1758781,-149.1107333	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1283
25	Anchorage, AK Metro Area	 61.1758781,-149.1107333	Fairbanks, AK Metro Area	 64.837845,-147.716675	1095
26	Anchorage, AK Metro Area	 61.1758781,-149.1107333	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1119
