ID	Source	SOURCE_coord	Dest	DEST_coord
0	Akron, OH Metro Area	 41.083064,-81.518485	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	6522
1	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4941
2	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4820
3	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5453
4	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	8874
5	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Athens-Clarke County, GA Metro Area	 33.9597677,-83.376398	7983
6	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4246
7	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Gainesville, GA Metro Area	 34.2978794,-83.8240663	4322
8	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	5105
9	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	5872
10	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4861
11	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	8623
12	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	8736
13	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	7048
14	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5175
