metro,male_value,male_rank,female_value,female_rank
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.024483300724355832,1,0.02588859178568336,1
"Dallas-Fort Worth-Arlington, TX Metro Area",0.02330533803684608,2,0.02511212341746036,2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.022496008686544555,3,0.023730497474284108,3
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.02225613237842367,4,0.022835062671962073,4
"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.02035582714792141,5,0.022628976338649957,5
"Houston-The Woodlands-Sugar Land, TX Metro Area",0.019893464684889187,6,0.020819673016964628,6
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.019321377123425142,7,0.01903943283135001,7
"Phoenix-Mesa-Scottsdale, AZ Metro Area",0.016747920946376182,8,0.016505220497718905,8
"Riverside-San Bernardino-Ontario, CA Metro Area",0.015483937466197516,9,0.013933113283829925,10
"Seattle-Tacoma-Bellevue, WA Metro Area",0.01368797328049145,10,0.014093780440304382,9
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.01366722709294581,11,0.013754527485770721,11
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.01347962329036329,12,0.013736884534990777,12
"Denver-Aurora-Lakewood, CO Metro Area",0.01286102591871232,13,0.012578403524565721,13
"Austin-Round Rock, TX Metro Area",0.011462981025319405,14,0.011527097155312888,17
"San Francisco-Oakland-Hayward, CA Metro Area",0.011062671251925572,15,0.011603661949675423,14
"Orlando-Kissimmee-Sanford, FL Metro Area",0.010885686377623936,16,0.011574715627973258,15
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.010629920970629838,17,0.011342029416209187,18
"Boston-Cambridge-Newton, MA-NH Metro Area",0.01059641182725435,18,0.011563577241292079,16
"San Diego-Carlsbad, CA Metro Area",0.010561408647540948,19,0.009785584992502577,22
"San Antonio-New Braunfels, TX Metro Area",0.01042077025733555,20,0.010112910923271906,21
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.010345882792876633,21,0.010963835044249984,19
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.01000718144915114,22,0.010630809158563905,20
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",0.009732048253856996,23,0.008889898793391988,23
"Baltimore-Columbia-Towson, MD Metro Area",0.008578103774794647,24,0.008742781769233808,24
"Las Vegas-Henderson-Paradise, NV Metro Area",0.0079076270402027,25,0.00812003622699032,26
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.007872124021331752,26,0.008334938496585561,25
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.00742348286970978,27,0.008013834519376654,27
"Kansas City, MO-KS Metro Area",0.007381076077938504,28,0.006704359041162092,32
"Detroit-Warren-Dearborn, MI Metro Area",0.007166072486065243,29,0.00776373962659738,28
"Columbus, OH Metro Area",0.00683631012950288,30,0.006845163542050658,31
"St. Louis, MO-IL Metro Area",0.006808844640762392,31,0.007229619328148578,29
"Jacksonville, FL Metro Area",0.006698667707474665,32,0.0068620074851472625,30
"Indianapolis-Carmel-Anderson, IN Metro Area",0.006420414616533333,33,0.006572722069245765,33
"Cincinnati, OH-KY-IN Metro Area",0.00620457592614446,34,0.006150251657512067,35
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",0.006144386113375156,35,0.006276572266823047,34
"Pittsburgh, PA Metro Area",0.005725786698740949,36,0.0056729718041261075,37
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.0056279174142143985,37,0.0052074454981108,39
"Columbia, SC Metro Area",0.005626589590116887,38,0.004732059199598337,44
"Richmond, VA Metro Area",0.005514311279335857,39,0.0057665549070247315,36
"Colorado Springs, CO Metro Area",0.005367220258820457,40,0.005229020686837219,38
"Tucson, AZ Metro Area",0.005183122146196424,41,0.0045535104346620245,46
"Oklahoma City, OK Metro Area",0.0048410300873772604,42,0.0051487743361197935,40
"Urban Honolulu, HI Metro Area",0.0048001441740183805,43,0.003974346665959633,50
"Raleigh, NC Metro Area",0.004788800788086209,44,0.004832768234655142,42
"North Port-Sarasota-Bradenton, FL Metro Area",0.00464985515392039,45,0.004997438539901015,41
"New Orleans-Metairie, LA Metro Area",0.004331376907832188,46,0.004782812991345283,43
"Bakersfield, CA Metro Area",0.004309882171765598,47,0.0023413560982490176,102
"Birmingham-Hoover, AL Metro Area",0.0042988899629914056,48,0.00463050895672374,45
"Cleveland-Elyria, OH Metro Area",0.00423481928146313,49,0.004083808775444872,48
"Charleston-North Charleston, SC Metro Area",0.004060690397212731,50,0.004046227643010254,49
"Greenville-Anderson-Mauldin, SC Metro Area",0.003925606598991933,51,0.0037879029095886432,54
"Cape Coral-Fort Myers, FL Metro Area",0.003916587266969912,52,0.004244691502901769,47
"Providence-Warwick, RI-MA Metro Area",0.003874786201850813,53,0.003938993738651694,51
"Milwaukee-Waukesha-West Allis, WI Metro Area",0.0038458719462804813,54,0.0036596996084764764,58
"Killeen-Temple, TX Metro Area",0.0036949194530778513,55,0.0038399345911945227,52
"Salt Lake City, UT Metro Area",0.0036788556848879367,56,0.003694019163820986,56
"Madison, WI Metro Area",0.0036424034978466413,57,0.003415152068945578,61
"Louisville/Jefferson County, KY-IN Metro Area",0.003588172036227698,58,0.0037113499687368573,55
"College Station-Bryan, TX Metro Area",0.003528294986812198,59,0.0029814397954197307,71
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.003526431427843596,60,0.002966664739388361,74
"Knoxville, TN Metro Area",0.003459208018706671,61,0.003820152747963758,53
"Memphis, TN-MS-AR Metro Area",0.003389334923973464,62,0.003272506596537544,67
"Dayton, OH Metro Area",0.0033540139358632414,63,0.0033498992547542484,64
"Fort Collins, CO Metro Area",0.0033416528336680396,64,0.0033307236533381616,65
"Durham-Chapel Hill, NC Metro Area",0.0033257810672864393,65,0.003677751321311318,57
"Augusta-Richmond County, GA-SC Metro Area",0.0032779929217803773,66,0.002951407474948351,75
"Grand Rapids-Wyoming, MI Metro Area",0.0032141539829870546,67,0.003451968830659801,60
"Fresno, CA Metro Area",0.003157572339110203,68,0.0031837715268924517,69
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.003149195560955923,69,0.002976300433391433,72
"Hartford-West Hartford-East Hartford, CT Metro Area",0.0031464571350940536,70,0.0031162166547642183,70
"Salem, OR Metro Area",0.003126407313977385,71,0.0029135500466496633,76
"Tulsa, OK Metro Area",0.0031240348152638876,72,0.0033675528795149637,63
"El Paso, TX Metro Area",0.0031001094997526253,73,0.0023273931301536163,104
"Lakeland-Winter Haven, FL Metro Area",0.003068330123980281,74,0.003500183863273037,59
"Omaha-Council Bluffs, NE-IA Metro Area",0.003032816271007106,75,0.0032859857420393258,66
"Columbus, GA-AL Metro Area",0.002975069296101624,76,0.0021622134473942493,115
"Ann Arbor, MI Metro Area",0.002966925260110012,77,0.002975644589028055,73
"Baton Rouge, LA Metro Area",0.0029546986701523854,78,0.0032648678413726355,68
"Stockton-Lodi, CA Metro Area",0.002950560326381365,79,0.0026300846957424302,87
"Albuquerque, NM Metro Area",0.0029244916738975593,80,0.002881370501883687,77
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.0029205976751060145,81,0.0027614668717249355,79
"Greensboro-High Point, NC Metro Area",0.002896214900231043,82,0.0034051002672085048,62
"Rochester, NY Metro Area",0.002779391016802294,83,0.0026620929215040745,86
"Boise City, ID Metro Area",0.0027645443153983397,84,0.002742288606503422,80
"Albany-Schenectady-Troy, NY Metro Area",0.0026380180424683632,85,0.0025168760483567153,93
"Savannah, GA Metro Area",0.0026361350500590072,86,0.002711369543248762,83
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.0026010011932253085,87,0.0027018570726604356,84
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.002590051919487244,88,0.0026782688693391585,85
"Boulder, CO Metro Area",0.002585338518159526,89,0.0023622422016811554,101
