Metros,Original Rank,Weighted Rank,Delta Rank
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",1,1,0
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",2,3,1
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",3,4,1
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",4,5,1
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",5,2,-3
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",6,8,2
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",7,6,-1
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",8,7,-1
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",9,9,0
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",10,11,1
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",11,10,-1
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",12,22,10
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",13,12,-1
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",14,13,-1
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",16,19,3
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",17,17,0
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",18,14,-4
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",19,20,1
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",20,24,4
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",21,15,-6
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",22,21,-1
"('Detroit-Warren-Dearborn, MI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",23,18,-5
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'St. Louis, MO-IL Metro Area')",24,28,4
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",25,27,2
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",26,37,11
"('St. Louis, MO-IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",27,30,3
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",28,25,-3
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Birmingham-Hoover, AL Metro Area')",29,38,9
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",30,32,2
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",31,33,2
"('Birmingham-Hoover, AL Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",32,31,-1
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",33,39,6
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",34,26,-8
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'New Orleans-Metairie, LA Metro Area')",35,40,5
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",36,35,-1
"('Columbus, OH Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",37,36,-1
"('San Francisco-Oakland-Hayward, CA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",38,79,41
"('San Francisco-Oakland-Hayward, CA Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",39,23,-16
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",40,16,-24
"('Orlando-Kissimmee-Sanford, FL Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",41,41,0
"('Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",43,44,1
"('Pittsburgh, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",44,42,-2
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",45,47,2
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",46,50,4
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",47,81,34
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",48,78,30
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Milwaukee-Waukesha-West Allis, WI Metro Area')",49,60,11
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",50,55,5
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'San Juan-Carolina-Caguas, PR Metro Area')",51,470,419
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Raleigh, NC Metro Area')",52,45,-7
"('St. Louis, MO-IL Metro Area', 'Kansas City, MO-KS Metro Area')",53,51,-2
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",54,34,-20
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",55,46,-9
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Orlando-Kissimmee-Sanford, FL Metro Area')",57,63,6
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",58,77,19
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",59,53,-6
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",60,54,-6
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area')",61,215,154
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",62,48,-14
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",63,71,8
"('Spokane-Spokane Valley, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",64,58,-6
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Pittsburgh, PA Metro Area')",65,62,-3
"('Tampa-St. Petersburg-Clearwater, FL Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",66,59,-7
"('Milwaukee-Waukesha-West Allis, WI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",67,70,3
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",68,43,-25
"('Cincinnati, OH-KY-IN Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",69,61,-8
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",70,29,-41
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Cleveland-Elyria, OH Metro Area')",71,52,-19
"('Denver-Aurora-Lakewood, CO Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",72,49,-23
"('Kansas City, MO-KS Metro Area', 'St. Louis, MO-IL Metro Area')",73,65,-8
"('San Diego-Carlsbad, CA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",74,68,-6
"('Salt Lake City, UT Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",75,57,-18
