Metro,Degree,Degree Rank,Eigenvector,Eigenvector Rank,Closeness,Closeness Rank,Betweenness,Betweenness Rank,Harmonic,Harmonic Rank
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1.806201550387597,1,0.21101715493290651,5,990.9021855060619,1,0.5112329464058588,1,588508.7251675389,3
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.8036175710594315,2,0.11940416179323422,15,946.3830969736815,2,0.37802412606605884,2,486126.4197901116,18
"Dallas-Fort Worth-Arlington, TX Metro Area",1.7906976744186047,3,0.16420384787579964,7,798.9832329616888,29,0.16090961427748993,5,525353.3820350001,8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1.7881136950904393,4,0.17272460548853874,6,910.3230622655738,6,0.1038947128837477,6,541491.7032643609,7
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1.7674418604651163,5,0.46678460161636737,2,945.9494951788989,3,0.289365519272737,3,629291.0378057173,2
"Phoenix-Mesa-Scottsdale, AZ Metro Area",1.723514211886305,6,0.1607927250269814,8,847.3181825624237,17,0.07454713419287465,10,509002.9108221952,15
"Atlanta-Sandy Springs-Roswell, GA Metro Area",1.682170542635659,7,0.121114803675797,14,886.918418488504,12,0.1929482802479549,4,513106.3194301655,11
"Houston-The Woodlands-Sugar Land, TX Metro Area",1.6304909560723515,8,0.14550405200011088,10,792.0863770183626,32,0.08897993064760144,9,510921.82855925156,12
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1.627906976744186,9,0.08128490847746572,25,767.9727951322678,39,0.013080558567966688,37,466597.29575330997,25
"Seattle-Tacoma-Bellevue, WA Metro Area",1.6046511627906976,10,0.1271363133467412,12,812.6765382234305,27,0.10267635993627076,7,462614.92976897553,26
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1.5917312661498708,11,0.06506769512460069,28,818.5485504152972,26,0.00024099289070972406,121,430085.36499545176,35
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",1.5917312661498708,12,0.12900887091367416,11,910.2389825677315,7,0.0715012518241823,11,555646.0446627785,4
"San Diego-Carlsbad, CA Metro Area",1.5865633074935401,13,0.21805752968343492,4,893.4782987680754,10,0.0112664176406796,39,518320.0236718837,10
"Denver-Aurora-Lakewood, CO Metro Area",1.5865633074935401,14,0.09099297348011853,21,724.2435083461363,61,0.03641000923806081,21,415790.7060990227,38
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1.5762273901808785,15,0.12187380899340985,13,943.1732795345213,4,0.09355210132412205,8,553107.3986140962,6
"Detroit-Warren-Dearborn, MI Metro Area",1.529715762273902,16,0.04086577707271368,39,776.3708187107667,36,0.05826672557603995,14,336995.8939351184,91
"Riverside-San Bernardino-Ontario, CA Metro Area",1.5116279069767442,17,0.49624157781482353,1,928.5282500869049,5,0.0091108701182204,50,649621.6214966532,1
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1.496124031007752,18,0.04653735665784809,32,750.2336810332565,45,0.0642982420907472,12,374558.177632355,68
"San Antonio-New Braunfels, TX Metro Area",1.4883720930232558,19,0.07379409804933491,27,725.0012950141339,60,0.007684995514854534,57,433579.9303183056,33
"Las Vegas-Henderson-Paradise, NV Metro Area",1.483204134366925,20,0.1460326792858249,9,841.6219629890647,19,0.014626929616687418,36,509832.19171240437,14
"Boston-Cambridge-Newton, MA-NH Metro Area",1.4728682170542635,21,0.1088888655468025,18,909.4976115173384,8,0.05101016186689159,15,524881.0054045367,9
"Orlando-Kissimmee-Sanford, FL Metro Area",1.4702842377260983,22,0.08568884095245276,23,836.4107908625555,21,0.02929402471515979,23,510846.3996411832,13
"San Francisco-Oakland-Hayward, CA Metro Area",1.4702842377260983,23,0.22237969725495166,3,893.7624661201805,9,0.06388989302593351,13,554782.0046799096,5
"Kansas City, MO-KS Metro Area",1.4315245478036176,24,0.032594903426849446,49,631.2244582006517,111,0.028664765500528846,24,285293.6482756724,156
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1.426356589147287,25,0.039784279644267055,41,647.1824657344254,98,0.032801810124379105,22,305719.39918758144,131
"St. Louis, MO-IL Metro Area",1.4211886304909562,26,0.03645154365957363,43,784.4608640682776,35,0.04794419675730677,17,371899.1477289532,72
"Pittsburgh, PA Metro Area",1.3875968992248062,27,0.03465966761444411,46,704.1684744336072,67,0.025431444216840047,27,373287.9238712558,71
