Metro,PageRank,Degree,Eigenvector ,Closeness ,Betweenness ,Harmonic 
"Abilene, TX Metro Area",190,225,175,180,381,89
"Aguadilla-Isabela, PR Metro Area",367,352,294,226,269,273
"Akron, OH Metro Area",107,111,164,201,61,167
"Albany-Schenectady-Troy, NY Metro Area",103,80,51,23,72,24
"Albany, GA Metro Area",284,287,255,249,327,175
"Albany, OR Metro Area",231,360,314,222,282,261
"Albuquerque, NM Metro Area",74,57,87,142,41,223
"Alexandria, LA Metro Area",349,325,359,366,326,381
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",106,91,53,24,293,27
"Altoona, PA Metro Area",375,348,348,353,283,360
"Amarillo, TX Metro Area",247,224,229,160,294,212
"Ames, IA Metro Area",207,248,291,342,125,270
"Anchorage, AK Metro Area",144,47,156,41,75,250
"Ann Arbor, MI Metro Area",86,88,88,66,284,114
"Anniston-Oxford-Jacksonville, AL Metro Area",266,332,299,372,328,247
"Appleton, WI Metro Area",214,306,356,340,151,279
"Arecibo, PR Metro Area",386,385,386,242,270,299
"Asheville, NC Metro Area",113,105,146,278,285,213
"Athens-Clarke County, GA Metro Area",147,161,121,59,286,37
"Atlanta-Sandy Springs-Roswell, GA Metro Area",6,7,14,12,4,11
"Atlantic City-Hammonton, NJ Metro Area",246,282,154,62,324,101
"Auburn-Opelika, AL Metro Area",152,197,242,234,154,217
"Augusta-Richmond County, GA-SC Metro Area",83,70,113,71,329,99
"Austin-Round Rock, TX Metro Area",18,31,19,50,53,22
"Bakersfield, CA Metro Area",66,112,20,28,109,19
"Baltimore-Columbia-Towson, MD Metro Area",26,28,22,13,33,16
"Bangor, ME Metro Area",320,274,305,272,214,251
"Barnstable Town, MA Metro Area",294,284,193,49,271,126
"Baton Rouge, LA Metro Area",61,101,141,156,116,173
"Battle Creek, MI Metro Area",264,250,365,326,247,322
"Bay City, MI Metro Area",365,380,387,364,330,345
"Beaumont-Port Arthur, TX Metro Area",137,181,144,80,295,79
"Beckley, WV Metro Area",376,313,341,385,344,385
"Bellingham, WA Metro Area",199,235,167,102,237,96
"Bend-Redmond, OR Metro Area",239,266,217,256,345,211
"Billings, MT Metro Area",274,228,272,378,239,377
"Binghamton, NY Metro Area",279,223,152,210,258,70
"Birmingham-Hoover, AL Metro Area",48,64,134,119,19,123
"Bismarck, ND Metro Area",339,268,337,325,287,362
"Blacksburg-Christiansburg-Radford, VA Metro Area",156,192,122,113,105,69
"Bloomington, IL Metro Area",197,195,183,116,288,73
"Bloomington, IN Metro Area",142,196,180,161,167,109
"Bloomsburg-Berwick, PA Metro Area",351,347,293,314,322,253
