metro	Delta PR	Coordinates
San Juan-Carolina-Caguas, PR Metro Area	64.33811265030441	 18.4655,-66.1057
Orlando-Kissimmee-Sanford, FL Metro Area	57.68629935799484	 28.5479786,-81.4127841856302
Atlanta-Sandy Springs-Roswell, GA Metro Area	40.98627120714716	 33.7490987,-84.3901849
New York-Newark-Jersey City, NY-NJ-PA Metro Area	39.622639648751246	 40.7127281,-74.0060152
Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	27.7528936311602	 25.7742658,-80.1936589
Mayagüez, PR Metro Area	27.13069090593016	 17.9390029,-66.9539751
Warner Robins, GA Metro Area	22.750660594944744	 32.6209775,-83.5999048
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	22.339719217879043	 39.9527237,-75.1635262
Ponce, PR Metro Area	20.879147150631375	 17.9935058,-66.6071120305113
Tampa-St. Petersburg-Clearwater, FL Metro Area	20.517524042603167	 27.9518491,-82.4563972
Aguadilla-Isabela, PR Metro Area	16.582344796945964	 18.44215415,-67.1473105463995
Boston-Cambridge-Newton, MA-NH Metro Area	12.161239654594723	 42.3602534,-71.0582912
Arecibo, PR Metro Area	11.078111540804544	 18.3442249,-66.7526951911433
Jacksonville, FL Metro Area	8.541906567546137	 30.3321838,-81.655651
Hartford-West Hartford-East Hartford, CT Metro Area	8.137394083511472	 33.4700252,-84.63344
Deltona-Daytona Beach-Ormond Beach, FL Metro Area	7.6351978621846	 28.9005446,-81.2636738
Allentown-Bethlehem-Easton, PA-NJ Metro Area	7.559256245603116	 40.6022059,-75.4712794
Baltimore-Columbia-Towson, MD Metro Area	7.48666403900455	 39.2908816,-76.610759
Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	5.931602673348718	 38.8950092,-77.0365625
Providence-Warwick, RI-MA Metro Area	5.891234257835148	 41.8240,-71.4128
Cleveland-Elyria, OH Metro Area	5.693064957405184	 41.5051613,-81.6934446
Lakeland-Winter Haven, FL Metro Area	5.637767453286862	 28.0470734,-81.9539892
Killeen-Temple, TX Metro Area	5.348375740939389	 31.1171441,-97.727796
San Germán, PR Metro Area	5.200571286870064	 18.0887911,-67.007989
Rochester, NY Metro Area	4.471722055585407	 43.1854754,-77.6106861508176
Worcester, MA-CT Metro Area	4.459199188093467	 42.2625932,-71.8022934
New Haven-Milford, CT Metro Area	4.455706134134929	 41.3083,-72.9279
Tallahassee, FL Metro Area	4.413549978595464	 30.4380832,-84.2809332
Springfield, MA Metro Area	4.3819210066133385	 42.1014831,-72.589811
Albany, GA Metro Area	4.15286311439086	 31.5785,-84.1557
Athens-Clarke County, GA Metro Area	3.918387233287925	 33.9597677,-83.376398
Macon, GA Metro Area	3.9136587989873317	 32.8406946,-83.6324022
Reading, PA Metro Area	3.834802829741661	 40.335345,-75.9279495
York-Hanover, PA Metro Area	3.7672638752132013	 39.962398,-76.727392
Savannah, GA Metro Area	3.5275376877488394	 32.0809,-81.0912
Charlotte-Concord-Gastonia, NC-SC Metro Area	3.4751826146702665	 35.2270869,-80.8431268
Guayama, PR Metro Area	3.4537143570591136	 18.0724557,-66.1046633
Bridgeport-Stamford-Norwalk, CT Metro Area	3.3609494097331174	 41.1792,-73.1894
Cape Coral-Fort Myers, FL Metro Area	3.1045900703964047	 26.6059432,-81.9806771
Palm Bay-Melbourne-Titusville, FL Metro Area	3.090536232498546	 28.0331886,-80.6429695
Augusta-Richmond County, GA-SC Metro Area	2.813715593172469	 33.4709714,-81.9748429
Gainesville, FL Metro Area	2.5153998588279753	 29.67357765,-82.3233746019217
Port St. Lucie, FL Metro Area	2.433319289827946	 27.2939333,-80.3503283
Lancaster, PA Metro Area	2.289504044386938	 40.03813,-76.3056686
North Port-Sarasota-Bradenton, FL Metro Area	2.181364848057119	 27.044224,-82.2359254
Lebanon, PA Metro Area	2.1434020688865307	 40.3429683,-76.4233816
Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	2.0702852171612838	 42.8867166,-78.8783922
Pensacola-Ferry Pass-Brent, FL Metro Area	2.0149502381931317	 30.421309,-87.2169149
Columbus, GA-AL Metro Area	1.9560065374551323	 32.4609764,-84.9877094
Valdosta, GA Metro Area	1.8591377019172053	 30.8327022,-83.2784851
Ocala, FL Metro Area	1.778175756418643	 29.1924213,-82.1352047
Columbia, SC Metro Area	1.6855260810235035	 34.0007493,-81.0343313
Atlantic City-Hammonton, NJ Metro Area	1.564348801378658	 39.3642852,-74.4229351
Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	1.4642550550794664	 36.8529841,-75.9774183
San Antonio-New Braunfels, TX Metro Area	1.2945751199207323	 29.4246002,-98.4951405
Trenton, NJ Metro Area	1.017997881282433	 40.2170575,-74.7429463
Brunswick, GA Metro Area	0.9727944212892942	 31.1500,-81.4915
Harrisburg-Carlisle, PA Metro Area	0.9571751179774084	 40.2663107,-76.8861122
Jacksonville, NC Metro Area	0.9493148709826312	 34.7494749,-77.4208221
Hinesville, GA Metro Area	0.9352193601087216	 31.8477298,-81.5960354
Fayetteville, NC Metro Area	0.883299319867116	 35.0525759,-78.878292
Dallas-Fort Worth-Arlington, TX Metro Area	0.8668712742375406	 32.7762719,-96.7968559
Charleston-North Charleston, SC Metro Area	0.6946837712578855	 32.7876012,-79.9402728
Gainesville, GA Metro Area	0.6931814008697638	 34.2978794,-83.8240663
Syracuse, NY Metro Area	0.42339207708724963	 43.0481221,-76.1474244
Richmond, VA Metro Area	0.4025373264094495	 37.5407,-77.4360
Manchester-Nashua, NH Metro Area	0.3580969567168945	 42.9956397,-71.4547891
Pittsburgh, PA Metro Area	0.307231038113899	 40.4416941,-79.9900861
Panama City, FL Metro Area	0.2490357745350445	 30.165156,-85.6605595
Houston-The Woodlands-Sugar Land, TX Metro Area	0.24629815667566446	 29.7589382,-95.3676974
Greenville-Anderson-Mauldin, SC Metro Area	0.21818849293198972	 34.851354,-82.3984882
Albany-Schenectady-Troy, NY Metro Area	0.19901458186595555	 42.6511674,-73.754968
Scranton--Wilkes-Barre--Hazleton, PA Metro Area	0.1761765197916612	 41.4086874,-75.6621294
Vineland-Bridgeton, NJ Metro Area	0.1354312595389963	 39.473152,-75.0020265495217
Spartanburg, SC Metro Area	0.1317707233978874	 34.9498007,-81.9320157
Sebring, FL Metro Area	0.02813924168551746	 27.4957453,-81.4410425
The Villages, FL Metro Area	0.024830629919347577	 28.9468504,-81.9533443
Norwich-New London, CT Metro Area	0.02368493344350603	 41.3557,-72.0995
