metro	Delta PR	Coordinates
Portland-Vancouver-Hillsboro, OR-WA Metro Area	8.681261786015575	 45.5202471,-122.6741949
Phoenix-Mesa-Scottsdale, AZ Metro Area	7.877944746659087	 33.4485866,-112.0773456
Seattle-Tacoma-Bellevue, WA Metro Area	5.751307732728035	 47.6038321,-122.3300624
Indianapolis-Carmel-Anderson, IN Metro Area	5.536567868886546	 39.7683331,-86.1583502
Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	5.467739841516147	 44.9772995,-93.2654692
Denver-Aurora-Lakewood, CO Metro Area	5.109336217858952	 39.7348381,-104.9653271
Sacramento--Roseville--Arden-Arcade, CA Metro Area	5.094182673689475	 38.5815719,-121.4943996
Riverside-San Bernardino-Ontario, CA Metro Area	5.038304798140464	 33.9806, -117.3755
Kansas City, MO-KS Metro Area	5.0059038008153784	 39.100105,-94.5781416
Los Angeles-Long Beach-Anaheim, CA Metro Area	3.9261410364890144	 34.0536909,-118.2427666
Spokane-Spokane Valley, WA Metro Area	3.765543416145217	 47.6579425,-117.4212265
San Jose-Sunnyvale-Santa Clara, CA Metro Area	3.7562214896032926	 37.3361905,-121.8905833
Salem, OR Metro Area	3.709126745228336	 44.9391565,-123.033121
Fresno, CA Metro Area	3.69282460484675	 36.7295295,-119.708861260756
San Diego-Carlsbad, CA Metro Area	3.63536975058424	 32.7174209,-117.1627714
San Francisco-Oakland-Hayward, CA Metro Area	3.586472365476982	 37.7749,-122.4194
Salt Lake City, UT Metro Area	3.5243493508726846	 40.7670126,-111.8904308
Omaha-Council Bluffs, NE-IA Metro Area	3.463155552969931	 41.2587317,-95.9378732
Las Vegas-Henderson-Paradise, NV Metro Area	3.430688067973184	 36.1662859,-115.149225
Des Moines-West Des Moines, IA Metro Area	3.3880157099641477	 41.5910641,-93.6037149
Provo-Orem, UT Metro Area	3.3639024359911462	 40.2338438,-111.6585337
Madison, WI Metro Area	3.363576831378083	 43.074761,-89.3837613
Eugene, OR Metro Area	3.338304410163348	 44.0505054,-123.0950506
Boise City, ID Metro Area	3.2475363270367037	 43.60081625,-116.242110153775
