metro,white_value,white_rank,black_value,black_rank,asian_value,asian_rank,other_value,other_rank
"Dallas-Fort Worth-Arlington, TX Metro Area",0.02297771094234236,1,0.029231233647115096,2.0,0.030068363561200646,5.0,0.022580111888901036,4
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.021955287503148253,2,0.025669599125060227,5.0,0.05606067063184394,1.0,0.03174943094535048,2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.021484775965311977,3,0.02873812915903285,3.0,0.03576754788885805,3.0,0.020209650842567796,6
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.01980303705554995,4,0.016300205073098963,8.0,0.052183731275444886,2.0,0.0333278171593402,1
"Houston-The Woodlands-Sugar Land, TX Metro Area",0.018904129593976006,5,0.028535729530432825,4.0,0.02601862840971218,7.0,0.017174957463231052,9
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.018348211541372606,6,0.023770173367038596,6.0,0.026278002827491664,6.0,0.017372624794283514,8
"Phoenix-Mesa-Scottsdale, AZ Metro Area",0.017530505242181034,7,0.011130630823420563,15.0,0.011738076226093882,19.0,0.020480757554824335,5
"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.016061924119894107,8,0.048269728527003494,1.0,0.02259305948851738,10.0,0.015969894527552483,10
"Denver-Aurora-Lakewood, CO Metro Area",0.014545279114766206,9,0.0057449306368035245,36.0,0.007690778827184485,25.0,0.011293930404627112,15
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.014073519405139958,10,0.016006526229479505,9.0,0.007212628641693867,26.0,0.010634627694153537,18
"Seattle-Tacoma-Bellevue, WA Metro Area",0.013585919925477419,11,0.008666450413177903,23.0,0.02309176031789416,9.0,0.01872810796089738,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.013121070686247283,12,0.0153252788093046,10.0,0.019222123408498184,11.0,0.012837448575498423,13
"Riverside-San Bernardino-Ontario, CA Metro Area",0.012584756959272182,13,0.013677987020315764,12.0,0.01822543991691521,13.0,0.029505012048861655,3
"Austin-Round Rock, TX Metro Area",0.01217268811002166,14,0.008786308160303779,22.0,0.013801051098383385,17.0,0.008701744401587374,23
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.011818580312861595,15,0.007593099770860513,27.0,0.005413029382364875,33.0,0.009291160333477934,21
"Boston-Cambridge-Newton, MA-NH Metro Area",0.011619525572992074,16,0.006096538234148138,34.0,0.018953159560638408,12.0,0.008809324843046702,22
"Orlando-Kissimmee-Sanford, FL Metro Area",0.011487603768920407,17,0.012156557813369391,14.0,0.00522757090816357,36.0,0.011227130996251231,17
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.011033534498847216,18,0.00996936940686485,16.0,0.01393109266707827,16.0,0.009706344584043012,20
"San Antonio-New Braunfels, TX Metro Area",0.010775497463718687,19,0.00852231723954637,24.0,0.00787933061193322,24.0,0.011258796616886124,16
"San Diego-Carlsbad, CA Metro Area",0.010283641518198355,20,0.0053092938694741815,43.0,0.015921780438946296,14.0,0.012473728180008779,14
"San Francisco-Oakland-Hayward, CA Metro Area",0.009932180106334346,21,0.007601978485882363,26.0,0.033017736151799815,4.0,0.014196478731379388,11
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.009412256873052884,22,0.017000083079624015,7.0,0.00834746857043587,23.0,0.00807230854693939,26
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",0.008921429322040798,23,0.014263512928638152,11.0,0.005685314932714018,32.0,0.007752343904877919,27
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.00876904455740567,24,0.005347322344920845,42.0,0.005107428755038558,39.0,0.004097490222687073,49
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.008602166597305576,25,0.0031549162956440837,68.0,0.008780645304605539,22.0,0.009754752810493272,19
"Baltimore-Columbia-Towson, MD Metro Area",0.007778137475101853,26,0.013212293193888886,13.0,0.012888018950545891,18.0,0.00607734408591911,34
"Detroit-Warren-Dearborn, MI Metro Area",0.007330019072615792,27,0.009723730105217375,18.0,0.009367072310955507,21.0,0.004423821837107712,45
"Kansas City, MO-KS Metro Area",0.007303691734862574,28,0.007328275128295262,31.0,0.004437418481811365,45.0,0.006963650784780989,32
"Jacksonville, FL Metro Area",0.007118565367166515,29,0.007508257054089793,29.0,0.0033780678019975506,55.0,0.004680803209232426,42
"St. Louis, MO-IL Metro Area",0.007000400848745593,30,0.009318862915911143,21.0,0.0051607918621465725,37.0,0.004722799834032372,41
"Las Vegas-Henderson-Paradise, NV Metro Area",0.006893018614097842,31,0.00993173669993542,17.0,0.010395104906325931,20.0,0.013111895482900326,12
"Indianapolis-Carmel-Anderson, IN Metro Area",0.006749140359061417,32,0.007505386369954503,30.0,0.0046331078432025625,42.0,0.004621743029767741,43
"Columbus, OH Metro Area",0.00668994216173323,33,0.0075466687011733645,28.0,0.0070134752975795816,28.0,0.007019463480152871,31
"Cincinnati, OH-KY-IN Metro Area",0.006640673691971625,34,0.005458702131289841,41.0,0.005822974232391174,31.0,0.004070532826744504,50
"Pittsburgh, PA Metro Area",0.006136554158568012,35,0.004240252587782147,49.0,0.005841863507025139,30.0,0.00396253618674165,54
"North Port-Sarasota-Bradenton, FL Metro Area",0.005906814491323957,36,0.00212774139103706,108.0,0.0018184525916816927,100.0,0.002080588134523888,118
"Colorado Springs, CO Metro Area",0.005525265216652752,37,0.003646770289541531,61.0,0.0027983584188049884,63.0,0.007370193132480728,29
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",0.005447301574773373,38,0.0051335682616198966,45.0,0.01540356780681247,15.0,0.007619851418525667,28
"Tucson, AZ Metro Area",0.005041072532718288,39,0.0029909455801180457,70.0,0.0033848870035923444,54.0,0.007168066016893646,30
"Richmond, VA Metro Area",0.004893465540114399,40,0.009562450426168502,19.0,0.007083328506700289,27.0,0.004297493600051268,47
"Oklahoma City, OK Metro Area",0.004801070217297171,41,0.005499758744234791,40.0,0.003351220816772131,56.0,0.008155833600217837,25
"Columbia, SC Metro Area",0.004630652478123476,42,0.009335775245882237,20.0,0.002384265494850377,70.0,0.004063357809761971,51
"Raleigh, NC Metro Area",0.004623751731158141,43,0.00602224304059725,35.0,0.005288981572240492,35.0,0.00317951348667362,67
"Cape Coral-Fort Myers, FL Metro Area",0.004534061655904994,44,0.0029769057870959385,71.0,0.0016920259903112822,104.0,0.0036887457094083452,60
"Birmingham-Hoover, AL Metro Area",0.004441221836704237,45,0.006562819960467241,33.0,0.0019104502713963342,93.0,0.003118685976753538,70
"Charleston-North Charleston, SC Metro Area",0.0044160589295997215,46,0.0039288654162133166,58.0,0.0015209580249606262,121.0,0.0031312465491965045,69
"New Orleans-Metairie, LA Metro Area",0.004368852774677043,47,0.008282428466813692,25.0,0.004231691718056754,46.0,0.0028925495831947996,73
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.004333265313125739,48,0.001806055767532542,130.0,0.02383577462846075,8.0,0.0054888682461176385,37
"Greenville-Anderson-Mauldin, SC Metro Area",0.004285291997825154,49,0.003536868319016051,63.0,0.002158939009863715,82.0,0.0018892306895115247,132
"Providence-Warwick, RI-MA Metro Area",0.004241779009317098,50,0.00271636928253012,79.0,0.003708497602228875,51.0,0.0037594128848133105,58
"Knoxville, TN Metro Area",0.004190487155763313,51,0.002260137467037243,101.0,0.002033824240549429,85.0,0.003069243823174116,71
"Salt Lake City, UT Metro Area",0.004044191723288846,52,0.001993310982991941,117.0,0.002956171653265067,60.0,0.0041067037490441285,48
"Urban Honolulu, HI Metro Area",0.003985662962298653,53,0.0029621674249041734,72.0,0.00700731275806155,29.0,0.008489560642681297,24
"Cleveland-Elyria, OH Metro Area",0.003974089783790025,54,0.004744375930063711,46.0,0.004629186914573989,43.0,0.004754274721082307,40
"Fort Collins, CO Metro Area",0.003911647191993087,55,0.0014637531039601247,161.0,0.001566184994919189,117.0,0.002754490557545942,78
"Louisville/Jefferson County, KY-IN Metro Area",0.0038840179520755573,56,0.003791766518966097,60.0,0.0025250662388240593,68.0,0.0022758164237554742,102
"Milwaukee-Waukesha-West Allis, WI Metro Area",0.0038585999534023543,57,0.003964062086498226,56.0,0.003758668418482299,50.0,0.0028483599577784763,74
"Madison, WI Metro Area",0.003804335155709831,58,0.0023202922589059135,99.0,0.004103921384686043,48.0,0.002650912122526058,81
"Grand Rapids-Wyoming, MI Metro Area",0.00369772648023199,59,0.002669590708602512,81.0,0.0019770808831910632,88.0,0.0025718015455447538,87
"College Station-Bryan, TX Metro Area",0.0036008269668442506,60,0.002405891686389259,92.0,0.0027853290699144675,64.0,0.0022479059586391257,106
"Killeen-Temple, TX Metro Area",0.003584132052578581,61,0.005249438955785089,44.0,0.0018249826831566967,98.0,0.004391986703705328,46
