metro,pr
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.021175954474901365
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.01986366939831865
"Dallas-Fort Worth-Arlington, TX Metro Area",0.019687817063266073
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.018384172889809036
"Houston-The Woodlands-Sugar Land, TX Metro Area",0.017472533875385433
"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.017056245280398275
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.015999483733943377
"Phoenix-Mesa-Scottsdale, AZ Metro Area",0.01570062385230821
"Seattle-Tacoma-Bellevue, WA Metro Area",0.013659543674312226
"Riverside-San Bernardino-Ontario, CA Metro Area",0.013245894726566893
"San Francisco-Oakland-Hayward, CA Metro Area",0.01316978388948469
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.01207648402935624
"Denver-Aurora-Lakewood, CO Metro Area",0.011797188522514034
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.011485461773532065
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.010832316672116876
"Austin-Round Rock, TX Metro Area",0.010770610258708874
"Boston-Cambridge-Newton, MA-NH Metro Area",0.010660401330413743
"Orlando-Kissimmee-Sanford, FL Metro Area",0.010270747699808368
"San Diego-Carlsbad, CA Metro Area",0.010180180087431639
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.009511613286809585
"San Antonio-New Braunfels, TX Metro Area",0.009303273523905118
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.008842963867948955
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.008577907797607861
"Las Vegas-Henderson-Paradise, NV Metro Area",0.007987228225166367
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",0.007974130935170846
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",0.007361587240278065
"Baltimore-Columbia-Towson, MD Metro Area",0.007308938303052845
"Detroit-Warren-Dearborn, MI Metro Area",0.007155336764204249
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.006891387244593752
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.0065667854862837055
"Kansas City, MO-KS Metro Area",0.006460077032672958
"Jacksonville, FL Metro Area",0.006353236326405977
"Columbus, OH Metro Area",0.0062366005368202
"Indianapolis-Carmel-Anderson, IN Metro Area",0.006070236186198445
"St. Louis, MO-IL Metro Area",0.005967563261321987
"Raleigh, NC Metro Area",0.0057812868714408544
"Cincinnati, OH-KY-IN Metro Area",0.0055213801573902105
"Colorado Springs, CO Metro Area",0.005391030193918581
"Pittsburgh, PA Metro Area",0.005177109266460187
"Columbia, SC Metro Area",0.0049727938214673695
"Tucson, AZ Metro Area",0.004871773322211744
"Salt Lake City, UT Metro Area",0.0048189302980283484
"Richmond, VA Metro Area",0.004810691288297529
"North Port-Sarasota-Bradenton, FL Metro Area",0.004567485123320021
"Oklahoma City, OK Metro Area",0.004536672756959324
"New Orleans-Metairie, LA Metro Area",0.004429571510039718
"Urban Honolulu, HI Metro Area",0.004396691253438853
"Birmingham-Hoover, AL Metro Area",0.004291451341433605
"Cleveland-Elyria, OH Metro Area",0.004208296015948416
"Cape Coral-Fort Myers, FL Metro Area",0.004108032349317735
"Charleston-North Charleston, SC Metro Area",0.004101247920906508
"Milwaukee-Waukesha-West Allis, WI Metro Area",0.004070521384401775
"Killeen-Temple, TX Metro Area",0.003952712660766168
"Durham-Chapel Hill, NC Metro Area",0.0038617306480966626
"Greenville-Anderson-Mauldin, SC Metro Area",0.0038244420906808608
"Provo-Orem, UT Metro Area",0.003741585501784026
"Providence-Warwick, RI-MA Metro Area",0.0036993893608862943
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.0036984480145640843
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.0036479538205028516
"Memphis, TN-MS-AR Metro Area",0.0034809219235356604
"Baton Rouge, LA Metro Area",0.0034560605805865462
"Dayton, OH Metro Area",0.0034107552543080127
"Boulder, CO Metro Area",0.003409675483982902
"Louisville/Jefferson County, KY-IN Metro Area",0.0033933151404397376
"Grand Rapids-Wyoming, MI Metro Area",0.0033736888404182325
"Bakersfield, CA Metro Area",0.003310878072685249
"Knoxville, TN Metro Area",0.003269786889248199
"El Paso, TX Metro Area",0.0032116377451423986
"Hartford-West Hartford-East Hartford, CT Metro Area",0.0031955082561455255
"Madison, WI Metro Area",0.003186297247518767
"Lakeland-Winter Haven, FL Metro Area",0.003151962030923495
"College Station-Bryan, TX Metro Area",0.003134284029133994
"Fresno, CA Metro Area",0.003106989077455634
"Albuquerque, NM Metro Area",0.00310397247645604
"Tallahassee, FL Metro Area",0.003076688143577947
"Stockton-Lodi, CA Metro Area",0.003049116771747984
"Omaha-Council Bluffs, NE-IA Metro Area",0.0030359975073853606
"Fort Collins, CO Metro Area",0.003027726073583524
"Spokane-Spokane Valley, WA Metro Area",0.0030249068498654484
"Greensboro-High Point, NC Metro Area",0.0029831987983483686
"Tulsa, OK Metro Area",0.002961674027524898
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.0029486739420536623
